Occupational Group,Detail Occupation ,Median Annual Wage
"Arts, Design, Entertainment, Sports, and Media Occupations","Fine artists, including painters, sculptors, and illustrators","$44,850"
"Arts, Design, Entertainment, Sports, and Media Occupations",Multimedia artists and animators,"$61,370"
"Arts, Design, Entertainment, Sports, and Media Occupations","Artists and related workers, all other","$59,840"
"Arts, Design, Entertainment, Sports, and Media Occupations",Commercial and industrial designers,"$59,610"
"Arts, Design, Entertainment, Sports, and Media Occupations",Fashion designers,"$62,860"
"Arts, Design, Entertainment, Sports, and Media Occupations",Floral designers,"$23,810"
"Arts, Design, Entertainment, Sports, and Media Occupations",Graphic designers,"$44,150"
"Arts, Design, Entertainment, Sports, and Media Occupations",Interior designers,"$47,600"
"Arts, Design, Entertainment, Sports, and Media Occupations",Merchandise displayers and window trimmers,"$26,410"
"Arts, Design, Entertainment, Sports, and Media Occupations",Set and exhibit designers,"$50,300"
"Arts, Design, Entertainment, Sports, and Media Occupations","Designers, all other","$45,330"
"Arts, Design, Entertainment, Sports, and Media Occupations",Producers and directors,"$71,350"
"Arts, Design, Entertainment, Sports, and Media Occupations",Athletes and sports competitors,"$40,060"
"Arts, Design, Entertainment, Sports, and Media Occupations",Coaches and scouts,"$28,360"
"Arts, Design, Entertainment, Sports, and Media Occupations","Umpires, referees, and other sports officials","$23,290"
"Arts, Design, Entertainment, Sports, and Media Occupations",Choreographers,"$38,120"
"Arts, Design, Entertainment, Sports, and Media Occupations",Music directors and composers,"$47,350"
"Arts, Design, Entertainment, Sports, and Media Occupations",Radio and television announcers,"$28,020"
"Arts, Design, Entertainment, Sports, and Media Occupations",Public address system and other announcers,"$26,230"
"Arts, Design, Entertainment, Sports, and Media Occupations",Broadcast news analysts,"$55,380"
"Arts, Design, Entertainment, Sports, and Media Occupations",Reporters and correspondents,"$35,870"
"Arts, Design, Entertainment, Sports, and Media Occupations",Public relations specialists,"$54,170"
"Arts, Design, Entertainment, Sports, and Media Occupations",Editors,"$53,880"
"Arts, Design, Entertainment, Sports, and Media Occupations",Technical writers,"$65,500"
"Arts, Design, Entertainment, Sports, and Media Occupations",Writers and authors,"$55,940"
"Arts, Design, Entertainment, Sports, and Media Occupations",Interpreters and translators,"$45,430"
"Arts, Design, Entertainment, Sports, and Media Occupations","Media and communication workers, all other","$45,160"
"Arts, Design, Entertainment, Sports, and Media Occupations",Audio and video equipment technicians,"$41,850"
"Arts, Design, Entertainment, Sports, and Media Occupations",Broadcast technicians,"$37,880"
"Arts, Design, Entertainment, Sports, and Media Occupations",Radio operators,"$42,080"
"Arts, Design, Entertainment, Sports, and Media Occupations",Sound engineering technicians,"$46,310"
"Arts, Design, Entertainment, Sports, and Media Occupations",Photographers,"$28,490"
"Arts, Design, Entertainment, Sports, and Media Occupations","Camera operators, television, video, and motion picture","$40,300"
"Arts, Design, Entertainment, Sports, and Media Occupations",Film and video editors,"$51,300"
"Arts, Design, Entertainment, Sports, and Media Occupations","Media and communication equipment workers, all other","$68,810"
Healthcare Practitioners and Technical Occupations,Chiropractors,"$66,160"
Healthcare Practitioners and Technical Occupations,"Dentists, general","$145,240"
Healthcare Practitioners and Technical Occupations,Oral and maxillofacial surgeons,">=$187,200"
Healthcare Practitioners and Technical Occupations,Orthodontists,">=$187,200"
Healthcare Practitioners and Technical Occupations,Prosthodontists,"$169,130"
Healthcare Practitioners and Technical Occupations,"Dentists, all other specialists","$154,990"
Healthcare Practitioners and Technical Occupations,Dietitians and nutritionists,"$55,240"
Healthcare Practitioners and Technical Occupations,Optometrists,"$97,820"
Healthcare Practitioners and Technical Occupations,Pharmacists,"$116,670"
Healthcare Practitioners and Technical Occupations,Anesthesiologists,">=$187,200"
Healthcare Practitioners and Technical Occupations,Family and general practitioners,"$172,020"
Healthcare Practitioners and Technical Occupations,"Internists, general",">=$187,200"
Healthcare Practitioners and Technical Occupations,Obstetricians and gynecologists,">=$187,200"
Healthcare Practitioners and Technical Occupations,"Pediatricians, general","$154,650"
Healthcare Practitioners and Technical Occupations,Psychiatrists,"$173,330"
Healthcare Practitioners and Technical Occupations,Surgeons,">=$187,200"
Healthcare Practitioners and Technical Occupations,"Physicians and surgeons, all other",">=$187,200"
Healthcare Practitioners and Technical Occupations,Physician assistants,"$90,930"
Healthcare Practitioners and Technical Occupations,Podiatrists,"$116,440"
Healthcare Practitioners and Technical Occupations,Occupational therapists,"$75,400"
Healthcare Practitioners and Technical Occupations,Physical therapists,"$79,860"
Healthcare Practitioners and Technical Occupations,Radiation therapists,"$77,560"
Healthcare Practitioners and Technical Occupations,Recreational therapists,"$42,280"
Healthcare Practitioners and Technical Occupations,Respiratory therapists,"$55,870"
Healthcare Practitioners and Technical Occupations,Speech-language pathologists,"$69,870"
Healthcare Practitioners and Technical Occupations,Exercise physiologists,"$44,770"
Healthcare Practitioners and Technical Occupations,"Therapists, all other","$53,210"
Healthcare Practitioners and Technical Occupations,Veterinarians,"$84,460"
Healthcare Practitioners and Technical Occupations,Registered nurses,"$65,470"
Healthcare Practitioners and Technical Occupations,Nurse anesthetists,"$148,160"
Healthcare Practitioners and Technical Occupations,Nurse midwives,"$89,600"
Healthcare Practitioners and Technical Occupations,Nurse practitioners,"$89,960"
Healthcare Practitioners and Technical Occupations,Audiologists,"$69,720"
Healthcare Practitioners and Technical Occupations,"Health diagnosing and treating practitioners, all other","$72,710"
Healthcare Practitioners and Technical Occupations,Medical and clinical laboratory technologists,"$57,580"
Healthcare Practitioners and Technical Occupations,Medical and clinical laboratory technicians,"$37,240"
Healthcare Practitioners and Technical Occupations,Dental hygienists,"$70,210"
Healthcare Practitioners and Technical Occupations,Cardiovascular technologists and technicians,"$52,070"
Healthcare Practitioners and Technical Occupations,Diagnostic medical sonographers,"$65,860"
Healthcare Practitioners and Technical Occupations,Nuclear medicine technologists,"$70,180"
Healthcare Practitioners and Technical Occupations,Radiologic technologists ,"$54,620"
Healthcare Practitioners and Technical Occupations,Magnetic resonance imaging technologists,"$65,360"
Healthcare Practitioners and Technical Occupations,Emergency medical technicians and paramedics,"$31,020"
Healthcare Practitioners and Technical Occupations,Dietetic technicians,"$26,260"
Healthcare Practitioners and Technical Occupations,Pharmacy technicians,"$29,320"
Healthcare Practitioners and Technical Occupations,Psychiatric technicians,"$30,050"
Healthcare Practitioners and Technical Occupations,Respiratory therapy technicians,"$46,760"
Healthcare Practitioners and Technical Occupations,Surgical technologists,"$41,790"
Healthcare Practitioners and Technical Occupations,Veterinary technologists and technicians,"$30,290"
Healthcare Practitioners and Technical Occupations,Ophthalmic medical technicians,"$34,240"
Healthcare Practitioners and Technical Occupations,Licensed practical and licensed vocational nurses,"$41,540"
Healthcare Practitioners and Technical Occupations,Medical records and health information technicians,"$34,160"
Healthcare Practitioners and Technical Occupations,"Opticians, dispensing","$33,330"
Healthcare Practitioners and Technical Occupations,Orthotists and prosthetists,"$62,670"
Healthcare Practitioners and Technical Occupations,Hearing aid specialists,"$41,430"
Healthcare Practitioners and Technical Occupations,"Health technologists and technicians, all other","$40,700"
Healthcare Practitioners and Technical Occupations,Occupational health and safety specialists,"$66,790"
Healthcare Practitioners and Technical Occupations,Occupational health and safety technicians,"$47,440"
Healthcare Practitioners and Technical Occupations,Athletic trainers,"$42,090"
Healthcare Practitioners and Technical Occupations,Genetic counselors,"$56,800"
Healthcare Practitioners and Technical Occupations,"Healthcare practitioners and technical workers, all other","$46,180"
Healthcare Support Occupations,Home health aides,"$20,820"
Healthcare Support Occupations,Psychiatric aides,"$24,580"
Healthcare Support Occupations,Nursing assistants,"$24,420"
Healthcare Support Occupations,Orderlies,"$23,990"
Healthcare Support Occupations,Occupational therapy assistants,"$53,240"
Healthcare Support Occupations,Occupational therapy aides,"$26,850"
Healthcare Support Occupations,Physical therapist assistants,"$52,160"
Healthcare Support Occupations,Physical therapist aides,"$23,880"
Healthcare Support Occupations,Massage therapists,"$35,970"
Healthcare Support Occupations,Dental assistants,"$34,500"
Healthcare Support Occupations,Medical assistants,"$29,370"
Healthcare Support Occupations,Medical equipment preparers,"$30,820"
Healthcare Support Occupations,Medical transcriptionists,"$34,020"
Healthcare Support Occupations,Pharmacy aides,"$21,860"
Healthcare Support Occupations,Veterinary assistants and laboratory animal caretakers,"$23,130"
Healthcare Support Occupations,Phlebotomists,"$29,730"
Healthcare Support Occupations,"Healthcare support workers, all other","$32,800"
Protective Service Occupations,First-line supervisors of correctional officers,"$57,840"
Protective Service Occupations,First-line supervisors of police and detectives,"$78,270"
Protective Service Occupations,First-line supervisors of fire fighting and prevention workers,"$68,210"
Protective Service Occupations,"First-line supervisors of protective service workers, all other","$45,820"
Protective Service Occupations,Firefighters,"$45,250"
Protective Service Occupations,Fire inspectors and investigators,"$53,990"
Protective Service Occupations,Forest fire inspectors and prevention specialists,"$35,780"
Protective Service Occupations,Bailiffs,"$36,840"
Protective Service Occupations,Correctional officers and jailers,"$39,040"
Protective Service Occupations,Detectives and criminal investigators,"$74,300"
Protective Service Occupations,Fish and game wardens,"$48,070"
Protective Service Occupations,Parking enforcement workers,"$35,690"
Protective Service Occupations,Police and sheriff's patrol officers,"$55,270"
Protective Service Occupations,Transit and railroad police,"$55,210"
Protective Service Occupations,Animal control workers,"$31,680"
Protective Service Occupations,Private detectives and investigators,"$45,740"
Protective Service Occupations,Gaming surveillance officers and gaming investigators,"$29,610"
Protective Service Occupations,Security guards,"$23,970"
Protective Service Occupations,Crossing guards,"$23,910"
Protective Service Occupations,"Lifeguards, ski patrol, and other recreational protective service workers","$18,950"
Protective Service Occupations,Transportation security screeners,"$36,850"
Protective Service Occupations,"Protective service workers, all other","$30,460"
Food Preparation and Serving Related Occupations,Chefs and head cooks,"$42,480"
Food Preparation and Serving Related Occupations,First-line supervisors of food preparation and serving workers,"$29,270"
Food Preparation and Serving Related Occupations,"Cooks, fast food","$18,410"
Food Preparation and Serving Related Occupations,"Cooks, institution and cafeteria","$22,860"
Food Preparation and Serving Related Occupations,"Cooks, private household","$23,470"
Food Preparation and Serving Related Occupations,"Cooks, restaurant","$22,030"
Food Preparation and Serving Related Occupations,"Cooks, short order","$19,730"
Food Preparation and Serving Related Occupations,"Cooks, all other","$23,250"
Food Preparation and Serving Related Occupations,Food preparation workers,"$19,300"
Food Preparation and Serving Related Occupations,Bartenders,"$18,900"
Food Preparation and Serving Related Occupations,"Combined food preparation and serving workers, including fast food","$18,260"
Food Preparation and Serving Related Occupations,"Counter attendants, cafeteria, food concession, and coffee shop","$18,560"
Food Preparation and Serving Related Occupations,Waiters and waitresses,"$18,540"
Food Preparation and Serving Related Occupations,"Food servers, nonrestaurant","$19,640"
Food Preparation and Serving Related Occupations,Dining room and cafeteria attendants and bartender helpers,"$18,500"
Food Preparation and Serving Related Occupations,Dishwashers,"$18,460"
Food Preparation and Serving Related Occupations,"Hosts and hostesses, restaurant, lounge, and coffee shop","$18,580"
Food Preparation and Serving Related Occupations,"Food preparation and serving related workers, all other","$20,300"
Building and Grounds Cleaning and Maintenance Occupations,First-line supervisors of housekeeping and janitorial workers,"$35,310"
Building and Grounds Cleaning and Maintenance Occupations,"First-line supervisors of landscaping, lawn service, and groundskeeping workers","$42,160"
Building and Grounds Cleaning and Maintenance Occupations,"Janitors and cleaners, except maids and housekeeping cleaners","$22,320"
Building and Grounds Cleaning and Maintenance Occupations,Maids and housekeeping cleaners,"$19,570"
Building and Grounds Cleaning and Maintenance Occupations,"Building cleaning workers, all other","$27,570"
Building and Grounds Cleaning and Maintenance Occupations,Pest control workers,"$30,060"
Building and Grounds Cleaning and Maintenance Occupations,Landscaping and groundskeeping workers,"$23,570"
Building and Grounds Cleaning and Maintenance Occupations,"Pesticide handlers, sprayers, and applicators, vegetation","$30,270"
